"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"1",-1.78248697273452,-0.582896712158714,-1.24713649703506,-0.741234574249621,-0.244770128741968
"2",1.03820220077883,-0.0813857585506189,0.0758390461778572,0.0708174465304885,0.168449091508769
"3",0.992849945469294,0.573509609745391,1.58995454118979,0.118781644329952,0.422390925205886
"4",1.24917646900017,2.44734458570741,-1.49138082484966,0.232657297136551,0.229238794071536
"5",-3.72624714130144,-0.655260161894815,-0.215667109465212,0.81884323247955,0.218630212264728
"6",-0.0448716938007906,-0.212687854047384,0.226906304242563,-0.419730423695662,-0.198579268169212
"7",0.0575864190950453,-1.86940049499533,0.913349449626814,-0.323508614761893,0.43858514473604
"9",-0.134584028155489,0.211025172370247,0.990212013525684,0.439855877462099,-0.798296054692295
"10",-0.788574304901272,1.78241816756755,0.0647460884100708,-0.270675780570723,-0.109088150054784
"11",1.67049859105437,-1.99527691780651,-0.132775889311702,0.0676947453509292,-0.338997889734715
"12",1.69232525341251,0.13219709778208,-0.508167025904865,0.342960369204069,-0.177956069931078
"13",-0.892407137509543,1.63279281929535,0.909397149549328,-0.400324369934477,0.0790606055217811
"14",0.66853239959283,-1.38237955301466,-1.1752772461556,0.0638631507187359,0.311332788015312
