"","emerge_intercept","emerge_slope","food_intercept","food_slope","active_intercept","active_slope","vigil_intercept","vigil_slope","out_intercept","out_slope","hid_intercept","hid_slope","gud_intercept","gud_slope","trigpass_intercept","trigpass_slope"
"1",7.18688931577695,-1.2565637292593,1.91289406561053,-0.569181164779519,-1.99262440836123,0.13633067722901,-1.39721582868781,0.210006405609897,-1.92928273146963,0.174954591607049,1.92928273146963,-0.174954591607049,10.3658922014024,-1.7271078671269,-1.49110231415058,0.138465896935694
"2",-2.17099082483904,0.114667212585245,8.22638634640114,0.312912484828956,-1.60553634531078,0.020214284144393,-0.0520897703266647,0.0364959159062407,-1.1513633803714,0.0279527277341423,1.1513633803714,-0.0279527277341424,-4.07208692059935,0.200121630811641,-0.674381788145178,-0.00253208206269416
"3",-0.774618407582172,0.0809446213922724,0.463404474517221,0.0460531601431442,-0.711196358496016,0.133664326158041,-3.10366308244122,0.339081815912481,-1.66666253566305,0.221538086061786,1.66666253566305,-0.221538086061787,-4.44013672778535,1.1758027396827,-1.20710763880587,0.157157481926512
"4",-7.48201899625068,1.08266578915562,-15.2055288120024,2.16419804621225,2.68683532542245,-0.0219629811415603,-3.63049536108546,0.688645320463553,0.530937026842143,0.243078639780766,-0.530937026842123,-0.243078639780769,6.274079736129,-0.643294581120882,4.17030138480666,-0.206441077698994
"5",5.21951190206961,-2.16612748001903,3.88181572856602,-1.749432618601,6.42425338654289,-0.569187739771666,-4.26518434649416,1.38295138164255,2.92728710365657,0.11800504307453,-2.92728710365656,-0.118005043074531,5.07151465377384,-1.48893753192344,8.37158834727179,-0.959502267602825
"6",-2.5566506479234,-0.349448198348311,-4.33068802048679,-0.380595301631939,3.76871512568589,0.217970881207921,-3.18729149031688,0.0611676854588177,1.46000344343784,0.176622462802168,-1.46000344343784,-0.176622462802169,-5.13801183957593,-0.209741041940115,2.31350411653553,0.317829991873184
"7",3.57476625763714,-1.19250827275243,4.73287296056915,-1.00134722554058,-0.799780134775539,0.0745001933610042,0.514835689504211,-0.304043014804543,-0.370494371959848,-0.0616389557234793,0.370494371959844,0.0616389557234803,-1.90343221286953,0.409894179147569,-0.709589835492923,-0.137724649095506
"9",0.00506947656408618,0.236927527770402,2.91336322156466,-1.00208317700578,-0.900077218498093,0.00540362336413725,-2.60565664369411,0.517554497123994,-1.61282880715748,0.198132067667654,1.61282880715748,-0.198132067667654,-0.170945140928148,0.148060365137689,-0.772940336397007,0.0318270748423779
"10",1.19195716748109,-0.0935204164168478,-0.340121439264683,0.271819254318611,-0.856519779190497,0.217708302355875,-2.36479962504867,0.868819212772208,-1.49169043112544,0.479681058900086,1.49169043112545,-0.479681058900086,0.900494998260512,-0.514411216440269,-0.71373022145227,0.242403023847761
"11",0.0985764294840661,0.122944004596829,1.26900514530459,-0.434980855778759,-0.332998096769673,-0.0273314125219353,0.555499633580514,-0.71647169006305,-0.0261735686256652,-0.288275979306631,0.026173568625667,0.288275979306631,-0.170945140928148,0.148060365137689,-0.461832075789189,-0.43842501779262
"12",-1.11949287453435,0.782107634816597,0.226746765521084,0.693647889560186,-0.698793559514603,-0.0624538211608332,-1.04051899379598,-0.0224015077377232,-0.88328394134533,-0.05243709852789,0.883283941345328,0.0524370985278911,-0.474123673370497,3.28564666371445e-16,-1.21799553039693,-0.0202522408586598
"13",4.80664811291425,-0.371089071923676,1.61861132589381,-0.0818575641026823,-4.72595045450374,0.30730741434068,-12.1916657145836,0.857086329589826,-7.90903383949111,0.538437718999135,7.9090338394911,-0.538437718999135,-0.474123673370498,1.65827694563627e-16,-3.06065035667491,0.193068618025435
"14",9.90335584942628,-0.48000965191764,-0.24239773786896,0.240960153393619,0.924510431312265,-0.186950526383451,1.70858216342603,-0.277295706795692,1.29323398128604,-0.23590318855039,-1.29323398128604,0.23590318855039,11.6501646417612,-0.650115505097751,3.10956410449864,-0.360274556327192
