individual,first_dist.x,origin,morph,release_condition,fate,performance,assay_weight,pr_weight,release_easting,release_northing,first_night_easting,first_night_northing,first_night_dist,days_to_settle,den_shared_days,dens_used,moved_dens,mean_dist,mean_dist_zero,hr100,perf,i_emerge,s_emerge,i_food,s_food,i_active,s_active,i_vigil,s_vigil,i_out,s_out,i_hid,s_hid,i_gud,s_gud,i_trigpass,s_trigpass,first_dist.y,area,hr95
EQ18,171.230838344032,Captive,Fawn,Good,1,3,-12.6666666666667,10.4325699745547,697084,6106399,697018,6106241,171.2308,5,3,9,13,95.59033027,318.6344342,21.28345,Good,7.18688931577696,-1.2565637292593,1.91289406561054,-0.569181164779521,-1.99262440836123,0.136330677229011,-1.39721582868781,0.210006405609898,-1.92928273146963,0.174954591607049,1.92928273146963,-0.174954591607049,10.3658922014024,-1.72710786712691,-1.49110231415059,0.138465896935694,171.230838344032,16.3152,16.3152
EQ19,475.925414324556,Captive,Dark,Good,1,2,-3.33333333333333,7.54310344827587,697084,6106299,697233,6105847,475.9254,17,5,13,21,194.8836805,389.767361,36.91955,Fair,-2.17099082483904,0.114667212585245,8.22638634640115,0.312912484828957,-1.60553634531078,0.0202142841443929,-0.0520897703266647,0.0364959159062408,-1.1513633803714,0.0279527277341421,1.1513633803714,-0.0279527277341424,-4.07208692059934,0.200121630811641,-0.674381788145179,-0.00253208206269421,475.925414324556,13.40165,13.40165
EQ20,142.021125189177,Captive,Dark,Good,0,1,-4.35233160621762,-9.75081256771398,697134,6106349,697151,6106490,142.0211,NA,0,7,6,177.5310871,213.0373045,NA,Poor,-0.774618407582173,0.0809446213922719,0.46340447451722,0.046053160143145,-0.711196358496013,0.13366432615804,-3.10366308244122,0.339081815912481,-1.66666253566305,0.221538086061785,1.66666253566305,-0.221538086061786,-4.44013672778536,1.1758027396827,-1.20710763880586,0.157157481926511,142.021125189177,2.8053,2.8053
EQ21,589.909315064612,Captive,Fawn,Good,1,2,-11.3333333333333,6.89223057644111,697034,6106349,697546,6106056,589.9093,13,13,9,14,212.3448821,653.3688679,63.771,Fair,-7.48201899625069,1.08266578915562,-15.2055288120025,2.16419804621227,2.68683532542248,-0.0219629811415633,-3.63049536108546,0.688645320463552,0.53093702684216,0.243078639780763,-0.530937026842143,-0.243078639780766,6.274079736129,-0.643294581120882,4.17030138480668,-0.206441077698997,589.909315064612,15.5663,15.5663
EQ22,477.980125109821,Captive,Dark,Good,1,2,-3.08571428571429,9.43396226415094,697084,6106399,697528,6106222,477.9801,8,18,5,15,73.48173835,209.9478238,3.6401,Fair,5.21951190206963,-2.16612748001903,3.88181572856604,-1.749432618601,6.42425338654291,-0.569187739771671,-4.26518434649421,1.38295138164256,2.92728710365655,0.118005043074531,-2.92728710365655,-0.118005043074532,5.07151465377384,-1.48893753192344,8.3715883472718,-0.95950226760283,477.980125109821,1.42545,1.42545
EQ23,410.026828390533,Captive,Fawn,Good,1,2,-11.358024691358,8.35654596100279,697084,6106299,697493,6106270,410.0268,5,33,6,8,66.30703676,359.9524853,12.8349,Fair,-2.55665064792339,-0.349448198348312,-4.33068802048679,-0.380595301631939,3.76871512568589,0.21797088120792,-3.18729149031688,0.0611676854588174,1.46000344343784,0.176622462802168,-1.46000344343784,-0.176622462802169,-5.13801183957593,-0.209741041940116,2.31350411653553,0.317829991873184,410.026828390533,12.7549,12.7549
EQ24,991.213902243103,Wild,Fawn,Fair,1,3,-14.2528735632184,45.8445040214477,697134,6106349,696158,6106176,991.2139,6,4,6,12,191.5323047,679.0690803,37.7481,Good,3.57476625763713,-1.19250827275242,4.73287296056917,-1.00134722554058,-0.799780134775537,0.0745001933610036,0.514835689504194,-0.304043014804536,-0.370494371959854,-0.0616389557234771,0.37049437195985,0.0616389557234783,-1.90343221286952,0.409894179147566,-0.709589835492931,-0.137724649095503,991.213902243103,37.7481,37.7481
EQ25,NA,Wild,Dark,Fair,NA,1,-25.0273224043716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor,-0.881579438669756,0.0850087198645429,3.59949271829404,-1.20856241312022,0.0388517905473011,0.103887907599562,-0.588565857675615,0.240167792044453,-0.19359686634307,0.1634089110406,0.193596866343067,-0.163408911040599,-0.474123673370497,1.92448380580009e-16,0.352220165370819,-0.0500420079650724,NA,NA,NA
EQ26,591.041453706929,Wild,Fawn,Fair,1,3,-10.625,15.7342657342657,697034,6106349,697545,6106052,591.0415,5,21,4,9,38.71182427,193.5591214,3.16225,Good,0.00506947656408485,0.236927527770402,2.91336322156466,-1.00208317700578,-0.900077218498092,0.00540362336413775,-2.6056566436941,0.517554497123995,-1.61282880715748,0.198132067667654,1.61282880715748,-0.198132067667654,-0.170945140928148,0.148060365137689,-0.772940336397006,0.0318270748423781,591.041453706929,3.16225,3.16225
EQ27,577.000866550476,Wild,Dark,Good,1,3,-19.8173515981735,11.9589977220957,697084,6106399,697545,6106052,577.0009,3,37,5,8,162.1165562,880.0613048,68.53725,Good,1.19195716748109,-0.0935204164168476,-0.340121439264691,0.271819254318614,-0.856519779190491,0.217708302355873,-2.36479962504865,0.868819212772201,-1.49169043112544,0.479681058900081,1.49169043112544,-0.479681058900081,0.900494998260505,-0.514411216440265,-0.713730221452263,0.242403023847757,577.000866550476,19.34925,19.34925
EQ28,37.3363094051889,Wild,Fawn,Good,1,3,-10.1657458563536,15.3751537515375,697084,6106299,697119,6106312,37.33631,7,1,7,14,126.0557375,387.8638076,27.91055,Good,0.0985764294840636,0.12294400459683,1.26900514530459,-0.434980855778756,-0.332998096769672,-0.0273314125219356,0.555499633580516,-0.716471690063051,-0.0261735686256643,-0.288275979306632,0.0261735686256661,0.288275979306632,-0.170945140928148,0.148060365137689,-0.461832075789186,-0.43842501779262,37.3363094051889,12.92155,12.92155
EQ29,39.924929555354304,Wild,Fawn,Good,0,1,-10.1234567901235,0,697134,6106349,697119,6106312,39.92493,NA,1,1,NA,NA,NA,NA,Poor,-1.11949287453435,0.782107634816597,0.226746765521089,0.693647889560183,-0.698793559514603,-0.0624538211608331,-1.04051899379598,-0.0224015077377232,-0.88328394134533,-0.0524370985278898,0.883283941345328,0.0524370985278911,-0.474123673370497,3.28564666371444e-16,-1.21799553039693,-0.0202522408586597,39.924929555354304,NA,NA
EQ30,923.906921718849,Wild,Fawn,Good,0,1,-11.6062176165803,7.62016412661195,697034,6106349,696144,6106597,923.9069,5,0,3,3,85.46550087,213.6637522,NA,Poor,4.80664811291425,-0.371089071923676,1.61861132589381,-0.0818575641026818,-4.72595045450374,0.30730741434068,-12.1916657145836,0.857086329589827,-7.90903383949111,0.538437718999135,7.90903383949111,-0.538437718999135,-0.474123673370498,1.65827694563627e-16,-3.06065035667491,0.193068618025435,923.906921718849,0.1552,0.1552
EQ31,507.567729470659,Wild,Fawn,Good,1,2,-13.3333333333333,6.41025641025641,697084,6106399,697108,6106906,507.5677,4,4,11,20,235.3938741,495.5660508,125.3185,Fair,9.90335584942624,-0.480009651917636,-0.242397737868932,0.240960153393616,0.924510431312231,-0.186950526383448,1.70858216342597,-0.277295706795687,1.29323398128599,-0.235903188550386,-1.29323398128599,0.235903188550386,11.6501646417612,-0.650115505097755,3.10956410449861,-0.36027455632719,507.567729470659,90.62875,90.62875
